name,result,truth_masks
Name,AB C,"[True, True, True, True, True, True]"
Name,M! C-,"[False, True, True, True, True, True]"
Name,John,"[True, False, True, True, True, True]"
Name,T  John ,"[True, True, False, True, True, True]"
Name, Ab ,"[True, True, True, False, True, True]"
Name,hello World,"[True, True, True, True, False, True]"
Name,Jen Doe Jr.,"[True, True, True, True, True, False]"
Email,John@Doe.J,"[True, True, True, True, True, True]"
Email,Jane Smith@example,"[False, True, True, True, True, True]"
Email,@example.io,"[True, False, True, True, True, True]"
Email,john.doe@test.example.io,"[True, True, False, True, True, True]"
Email,john@designercom,"[True, True, True, False, True, True]"
Email,john.doe@com,"[True, True, True, True, False, True]"
Email,managers@example,"[True, True, True, True, True, False]"
Password,abc!edP1,"[True, True, True, True, True]"
Password,A1$,"[False, True, True, True, True]"
Password,2aa3,"[True, False, True, True, True]"
Password,abc!1,"[True, True, False, True, True]"
Password,A!$4,"[True, True, True, False, True]"
Password,$AaD,"[True, True, True, True, False]"
Url,https://.com,"[True, True, True]"
Url,test.example.com,"[False, True, True]"
Url,https://sub domain.example,"[True, False, True]"
Url,https//hello,"[True, True, False]"
Date,100-7-15,"[True, True, True, True]"
Date,2025-12-31,"[False, True, True, True]"
Date,2027-01-01,"[True, False, True, True]"
Date,2001-12-31,"[True, True, False, True]"
Date,2022-08-32,"[True, True, True, False]"
German IBAN,121000100000000000,"[True, True, True]"
German IBAN,DE12100034XXYYZZ,"[False, True, True]"
German IBAN,DE123456780,"[True, False, True]"
German IBAN,1210501234567890123456789,"[True, True, False]"
