name,result,truth_masks
Name,John Doe,"(True, True, True, True, True, True)"
Name,Hello world,"(True, True, True, True, True, False)"
Name,john Doe,"(True, True, True, True, False, True)"
Name,hello World,"(True, True, True, True, False, False)"
Name, Dr John,"(True, True, True, False, True, True)"
Name, A b,"(True, True, True, False, True, False)"
Name, a B,"(True, True, True, False, False, True)"
Name, a b,"(True, True, True, False, False, False)"
Name,Hello World ,"(True, True, False, True, True, True)"
Name,Hello world ,"(True, True, False, True, True, False)"
Name,hello World ,"(True, True, False, True, False, True)"
Name,hello world ,"(True, True, False, True, False, False)"
Name, Hello World ,"(True, True, False, False, True, True)"
Name, A b ,"(True, True, False, False, True, False)"
Name, hello World ,"(True, True, False, False, False, True)"
Name, a b ,"(True, True, False, False, False, False)"
Name,JohnDoe,"(True, False, True, True, True, True)"
Name,UNSAT,"(True, False, True, True, True, False)"
Name,example,"(True, False, True, True, False, True)"
Name,UNSAT,"(True, False, True, True, False, False)"
Name,UNSAT,"(True, False, True, False, True, True)"
Name, Ab,"(True, False, True, False, True, False)"
Name,UNSAT,"(True, False, True, False, False, True)"
Name,UNSAT,"(True, False, True, False, False, False)"
Name,UNSAT,"(True, False, False, True, True, True)"
Name,A b ,"(True, False, False, True, True, False)"
Name,UNSAT,"(True, False, False, True, False, True)"
Name,UNSAT,"(True, False, False, True, False, False)"
Name,UNSAT,"(True, False, False, False, True, True)"
Name, A b ,"(True, False, False, False, True, False)"
Name,UNSAT,"(True, False, False, False, False, True)"
Name,UNSAT,"(True, False, False, False, False, False)"
Name,UNSAT,"(False, True, True, True, True, True)"
Name,! B@0 #c,"(False, True, True, True, True, False)"
Name,1 !,"(False, True, True, True, False, True)"
Name,1 2,"(False, True, True, True, False, False)"
Name,UNSAT,"(False, True, True, False, True, True)"
Name,UNSAT,"(False, True, True, False, True, False)"
Name,UNSAT,"(False, True, True, False, False, True)"
Name, #!,"(False, True, True, False, False, False)"
Name,UNSAT,"(False, True, False, True, True, True)"
Name,UNSAT,"(False, True, False, True, True, False)"
Name,!@# $,"(False, True, False, True, False, True)"
Name,1 2 ,"(False, True, False, True, False, False)"
Name, #$% &,"(False, True, False, False, True, True)"
Name,UNSAT,"(False, True, False, False, True, False)"
Name, 1 ,"(False, True, False, False, False, True)"
Name, $ ,"(False, True, False, False, False, False)"
Name,UNSAT,"(False, False, True, True, True, True)"
Name,UNSAT,"(False, False, True, True, True, False)"
Name,12345!@#$%,"(False, False, True, True, False, True)"
Name,UNSAT,"(False, False, True, True, False, False)"
Name,UNSAT,"(False, False, True, False, True, True)"
Name,UNSAT,"(False, False, True, False, True, False)"
Name,UNSAT,"(False, False, True, False, False, True)"
Name,UNSAT,"(False, False, True, False, False, False)"
Name,UNSAT,"(False, False, False, True, True, True)"
Name,UNSAT,"(False, False, False, True, True, False)"
Name,UNSAT,"(False, False, False, True, False, True)"
Name,UNSAT,"(False, False, False, True, False, False)"
Name,UNSAT,"(False, False, False, False, True, True)"
Name,UNSAT,"(False, False, False, False, True, False)"
Name,UNSAT,"(False, False, False, False, False, True)"
Name,UNSAT,"(False, False, False, False, False, False)"
Email,user@example.com,"(True, True, True, True, True, True)"
Email,manager123@example.com,"(True, True, True, True, True, False)"
Email,info@example.com.,"(True, True, True, True, False, True)"
Email,email@manager.,"(True, True, True, True, False, False)"
Email,user@example,"(True, True, True, False, True, True)"
Email,teammanager@project,"(True, True, True, False, True, False)"
Email,test@domain.,"(True, True, True, False, False, True)"
Email,project@manager.,"(True, True, True, False, False, False)"
Email,user@example.com@domain.com,"(True, True, False, True, True, True)"
Email,manager@example.com,"(True, True, False, True, True, False)"
Email,example@domain@site.,"(True, True, False, True, False, True)"
Email,manager@domain.com@site.,"(True, True, False, True, False, False)"
Email,test@@example,"(True, True, False, False, True, True)"
Email,manager@@example,"(True, True, False, False, True, False)"
Email,user@@example.com.,"(True, True, False, False, False, True)"
Email,manager@@end.,"(True, True, False, False, False, False)"
Email,@example.com,"(True, False, True, True, True, True)"
Email,@manager.com,"(True, False, True, True, True, False)"
Email,@a.b.,"(True, False, True, True, False, True)"
Email,@manager.,"(True, False, True, True, False, False)"
Email,@developer,"(True, False, True, False, True, True)"
Email,@manager123,"(True, False, True, False, True, False)"
Email,@example.,"(True, False, True, False, False, True)"
Email,@manager.,"(True, False, True, False, False, False)"
Email,@example@domain.com,"(True, False, False, True, True, True)"
Email,@.manager@company,"(True, False, False, True, True, False)"
Email,@..@.,"(True, False, False, True, False, True)"
Email,@.manager@.,"(True, False, False, True, False, False)"
Email,@@example,"(True, False, False, False, True, True)"
Email,@@manager123,"(True, False, False, False, True, False)"
Email,@team@lead.,"(True, False, False, False, False, True)"
Email,@@manager.,"(True, False, False, False, False, False)"
Email,john doe@example.com,"(False, True, True, True, True, True)"
